,Round,PlayerName,Group,Bonus,Result
0,0,tram,--,--,100
1,1_1,tram,543,-5,95
2,1_2,tram,651,1,96
3,1_3,tram,543,-5,91
4,1_4,tram,642,1,92
5,1_5,tram,543,-5,87
6,1_6,tram,642,1,88
7,2_1,tram,552,1,89
8,2_2,tram,552,1,90
9,2_3,tram,642,1,91
10,2_4,tram,543,-5,86
11,2_5,tram,633,1,87
12,2_6,tram,444,1,88
13,3_1,tram,543,-5,83
14,3_2,tram,444,1,84
15,3_3,tram,543,-5,79
16,3_4,tram,642,1,80
17,3_5,tram,543,-5,75
18,3_6,tram,633,1,76
19,4_1,tram,543,-5,71
20,4_2,tram,552,1,72
21,4_3,tram,543,-5,67
22,4_4,tram,543,-5,62
23,4_5,tram,543,-5,57
24,4_6,tram,642,1,58
25,5_1,tram,552,1,59
26,5_2,tram,543,-5,54
27,5_3,tram,543,-5,49
28,5_4,tram,543,-5,44
29,5_5,tram,543,-5,39
30,5_6,tram,543,-5,34
31,6_1,tram,543,-5,29
32,6_2,tram,543,-5,24
33,6_3,tram,543,-5,19
34,6_4,tram,651,1,20
35,6_5,tram,543,-5,15
36,6_6,tram,543,-5,10
37,7_1,tram,642,1,11
38,7_2,tram,552,1,12
39,7_3,tram,543,-5,7
40,7_4,tram,741,2,9
41,7_5,tram,543,-5,4
42,7_6,tram,543,-5,-1
